swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
1.0001,1.0000,317.3636,318.2161,173.571,170.622, 1.09,-3.98,-3.13,-2.90
1.0003,1.0000,318.2161,319.8797,170.622,167.115, 1.81,-4.65,-2.98,-2.84
0.9995,1.0000,319.8797,321.8628,167.115,162.839, 2.00,-5.53,-3.55,-3.54
0.9982,1.0000,321.8628,323.8431,162.839,159.394, 1.95,-4.35,-2.38,-2.40
1.0006,1.0000,323.8431,325.6272,159.394,156.057, 1.71,-4.13,-2.34,-2.42
1.0004,1.0000,325.6272,327.1018,156.057,153.276, 1.38,-3.37,-1.90,-1.99
1.0018,1.0000,327.1018,328.2714,153.276,150.152, 1.11,-3.72,-2.54,-2.61
0.9972,1.0000,328.2714,329.1578,150.152,147.990, 0.80,-2.53,-1.64,-1.72
1.0019,1.0000,329.1578,329.6424,147.990,145.948, 0.33,-2.35,-1.87,-2.03
0.9984,1.0000,329.6424,329.5574,145.948,144.162,-0.18,-2.03,-2.12,-2.21
0.9995,1.0000,329.5574,329.2314,144.162,142.955,-0.37,-1.36,-1.68,-1.73
1.0034,1.0000,329.2314,328.6003,142.955,141.492,-0.72,-1.63,-2.26,-2.35
0.9985,1.0000,328.6003,327.6968,141.492,140.931,-0.95,-0.62,-1.53,-1.57
0.9998,1.0000,327.6968,326.4405,140.931,140.727,-1.38,-0.22,-1.48,-1.60
0.9982,1.0000,326.4405,324.7011,140.727,140.435,-1.84,-0.32,-2.06,-2.16
1.0009,1.0000,324.7011,323.0083,140.435,140.537,-1.58, 0.11,-1.58,-1.47
0.9985,1.0000,323.0083,321.8511,140.537,140.076,-0.93,-0.51,-1.67,-1.44
1.0038,1.0000,321.8511,322.0244,140.076,138.217, 0.69,-2.03,-1.85,-1.34
0.9966,1.0000,322.0244,324.4012,138.217,135.021, 2.94,-3.42,-1.05,-0.49
0.9996,1.0000,324.4012,328.6208,135.021,129.748, 4.60,-5.47,-1.25,-0.87
1.0036,1.0000,328.6208,334.0656,129.748,123.338, 5.65,-6.36,-0.91,-0.70
0.9991,1.0000,334.0656,339.9820,123.338,115.393, 5.94,-7.43,-1.52,-1.49
0.9990,1.0000,339.9820,345.7446,115.393,107.490, 5.64,-6.90,-1.14,-1.26
0.9988,1.0000,345.7446,350.9211,107.490,100.328, 4.99,-5.83,-0.65,-0.84
1.0010,1.0000,350.9211,354.9363,100.328,94.300, 3.54,-4.59,-0.58,-1.05
1.0004,1.0000,354.9363,356.9100,94.300,90.570, 1.44,-2.70,-0.72,-1.26
0.9991,1.0000,356.9100,357.0675,90.570,88.676,-0.26,-1.33,-1.17,-1.59
